gene,mean_abs_grad
RASSF8,1.0601792886809802
KLRC4-KLRK1,1.0584237976812043
DPCD,1.0500467603230725
IL1B,1.0488390939986962
OR7E37P,1.0485252714757178
GTF2IP1,1.047102395780664
CABP7,1.0452440283242477
UBE2E4P,1.045180255647971
ATP8B5P,1.0448794330343651
GRIN3B,1.0420821908018238
KRT18,1.0403329022619006
FOXP3,1.0382195623415682
LOC102723797,1.038132280478969
B3GALT6,1.0364378444999631
SCUBE1,1.036366610331645
LOC102725153,1.0327657877301468
REREP3,1.0321966976132428
LOC101928530,1.0273750148624445
LYNX1,1.0269566226689875
TUBA3E,1.026287876985453
TMEM86A,1.0257253516194071
LOC101929595,1.022491861827818
WNT6,1.0210672484602386
GeneID:100288102,1.020472124471127
LOC100653247,1.02030836326103
EGR4,1.0200255587128917
LINC01061,1.0157454622323185
BCO2,1.014975176690553
SIRPD,1.0149664192750711
LOC101929789,1.0148656702139176
PTMS,1.013002894725945
HTR1F,1.0124548959995143
TUBA4B,1.0110508045728381
SNORD22,1.0101679628776696
FCER1G,1.0081519222135369
LOC401010,1.0047025504953826
RPL10L,1.004518754498084
LOC102725438,1.0027852516299651
CCR7,1.000867038996633
LOC101930079,0.9992639022428912
LOC101927635,0.9990073131854281
GLYCTK-AS1,0.9982773431597399
LOC341056,0.9975136091258194
HNRNPA3P1,0.9954281675047754
THBS1,0.9943170068017327
SNORA19,0.9935134349461416
CCDC11,0.9934707612277748
LOC100132831,0.9931172645289326
ABHD17C,0.9926368515206672
LOC115110,0.9918347354506051
HOPX,0.9875949781343473
HIST1H3E,0.9856786951972328
ARC,0.9854040351022487
ZBED8,0.9839983724866426
ADORA2A-AS1,0.9805199682997073
RNU5B-1,0.979958142921505
MMP14,0.9791813966811284
PLA2G1B,0.9779643694382372
ZNF578,0.9761930388486745
HIST1H2BO,0.972233946387984
LOC101929463,0.9716430402985953
PDCL3P4,0.9713646721598989
SERF2-C15ORF63,0.9707217446766416
FAM86B3P,0.96868010526788
FOXD4,0.967564784366815
TGIF2-C20orf24,0.9669733684214159
STX1A,0.9669137540513026
DCST2,0.9656103274980531
SCARNA12,0.962891237962328
LOC102724646,0.9606125211842808
RPL13AP3,0.9598557520294048
LOC101930154,0.9589619583622712
TMEM236,0.9588706099486722
NKG7,0.9583853386464
NPIPB5,0.9568120781305697
LOC101927595,0.9547836893025028
G0S2,0.9537710793204127
AIM1L,0.9536265365603424
SNORA53,0.9535848116092825
RRAD,0.9522752261089381
GZMB,0.9520307033284127
CXCL10,0.9511778684094291
OXCT2,0.9498193764611206
AARSD1,0.9494789506163647
FAXDC2,0.9488050325902232
CDKN1C,0.9484370584401007
RNASE1,0.946603964328559
BCRP3,0.9428892310025873
CPA5,0.9425269835097696
NPR2,0.9412579604131069
PPP1R2P9,0.9402108107605794
CHRNA10,0.9394271895044625
NKX2-3,0.9389343479282539
TDRD1,0.9381009660498177
TRMT5,0.9377306904531768
LOC102724389,0.9374361686760934
RPA4,0.9358383556136816
LOC101927560,0.9356496502421822
LOC100506860,0.934627735151419
FLJ45079,0.9340027188435941
FAM229A,0.9334508238334767
FOXN3-AS1,0.9334396751081719
LOC101929240,0.9317297126420498
GCK,0.9316402920328095
KRTAP12-3,0.9304821129571216
SLC25A52,0.9297950852937836
LOC101927252,0.9292183586878768
PKN3,0.9279191027378741
PC,0.9272366476978285
LOC102724770,0.9271400162678688
MMP23B,0.9262487075575803
LOC100996732,0.9247831032802475
RAB26,0.9231875647053628
TCEA2,0.9223628413927739
LOC102723692,0.9213273919424604
SIX3,0.9212790804841634
PCSK1N,0.9207630399865142
C2CD4D,0.9207223697468675
ERICH2,0.9201395258147647
LOC102724914,0.9192912691946504
CA13,0.9181755207334432
NACC2,0.9174120307493384
FLJ45513,0.9119995355561739
RGMA,0.9105039131515018
LSP1P3,0.9103584594613051
LOC102724457,0.9100456235428145
HBA2,0.9067452849121548
DPH3P1,0.9051386264628157
CRSP8P,0.9033614263805909
NUDT8,0.902933569216372
GZMK,0.9016522301173788
SYNE4,0.9005769844662935
GeneID:102723666,0.9005486103644574
LOC101928093,0.8981908091490182
LOC102724885,0.8976465288715245
CSNK1A1L,0.8972288697734443
NPIPA1,0.8970884209963299
AK1,0.8966925069260202
LOC101928982,0.896686066091929
HLA-DRB5,0.8966697752937618
LOC100288974,0.8965729518401099
PI3,0.8955440775458793
IL17C,0.8953912910100553
DNLZ,0.8939582683290568
ADIRF,0.8923622846943337
LOC644762,0.8920883728295987
CLDND2,0.8918762377298564
POU6F1,0.8917559031980228
FAHD2CP,0.8906052962881302
PHLDA2,0.8876637818313607
VCAM1,0.8861718712541191
ITGB4,0.8860253306909057
ANKK1,0.8855981451366449
SFTPC,0.885452016052772
CITED4,0.8847935507312443
FER1L4,0.8843382105307958
RNVU1-4,0.8840899986251483
TMEM244,0.8835981360859912
TPI1P2,0.8831494732020135
FGFR4,0.8831101376689173
TMOD4,0.88301071196316
LOC642131,0.8827157673555819
LOC441124,0.8820508034982623
ANKRD19P,0.8818973529199164
LOC284577,0.8795189153061022
AMT,0.8780751336227606
CAV1,0.8771932605594188
APOA1,0.8771912589725577
HES4,0.8756256273782939
LOC102725469,0.8756137569087665
ACTG2,0.8739873086679714
LOC100996720,0.8735321340051885
FAM95C,0.8733520148359283
HIF1A-AS1,0.8731562812081066
PODXL2,0.872965052096652
LOC102723342,0.8728070903804326
LOC101927187,0.8725376622216152
HMCN1,0.8719228156020434
MRGBP,0.8706947531453897
LOC101928001,0.8706499473018882
RAB36,0.8686020467856437
SPTBN5,0.8685232669375567
