name,val_auroc,val_auprc
MLP best,0.817005533991398,0.8468488002654398
SAE large-latent,0.7896635765294105,0.8108599629219103
SAE best,0.7867739094555503,0.8030278978920249
SAE two-stage,0.7807763027542163,0.8116941057509589
SAE aggressive-clf,0.7771989325176669,0.800492637609221
