gene,attribution
PMAIP1,0.03633161457537806
ATP5L2,0.03627260050100533
ITM2C,0.03600931894785856
DNAJB4,0.03594517333886944
LAG3,0.03577565994615054
PTTG1,0.03547119427714609
H2AFJ,0.035348450994914286
CD40LG,0.03527215273379836
KLRD1,0.03511719109216735
MIR4435-1HG,0.034543829652692724
PIM3,0.034295648452804195
C5orf56,0.034234465332485295
SNORA78,0.033800283890427926
SUPT3H,0.0336779760313776
SPNS1,0.03363432392628562
POLR2J,0.03362304742659515
CLTB,0.03354993830773016
HLA-L,0.03351302392557693
NCF1,0.033280083150416105
SUMO1P3,0.032949672497018655
ANXA2R,0.032749368522047635
PTMS,0.032647051893100285
H2AFX,0.032238426407141293
ZFAND2A,0.031671128442390756
TMEM107,0.031449711024964425
FAM173A,0.031180788790637966
PDCD1,0.031132504468694016
TYMP,0.030905388491025573
NT5C,0.030438878326198453
IRF7,0.030328914729123017
KLRC4,0.030194946042174896
RPL19P12,0.029835572268454274
MAP1LC3B2,0.029803892490284565
AREG,0.02979343920792777
TNFSF9,0.029776063458163225
METTL12,0.029758739158096393
UGP2,0.029227647295991987
DDTL,0.02843313333630658
PASK,0.02800060508344453
NCF1B,0.027711148537230296
LOC284454,0.027636182484819798
TOB1,0.02739865171969192
H3F3A,0.027124601675346555
NEU1,0.02705306783951295
CXCR6,0.026818506428434374
FAM50A,0.026381440825104956
ACP5,0.026273039652331513
GCHFR,0.026248161247811045
LOC100996740,0.026157611405647707
FOXP3,0.025898847863143705
SPRY1,0.02584600860974548
MAF,0.0255606982499725
A1BG,0.025515745521352915
AMICA1,0.025463605531571072
THAP3,0.025284050461467176
ODC1,0.025008838889573868
PPP1R2P9,0.024922669853932666
STRA13,0.024842647941267268
CMC1,0.024819923965125865
LOC102288414,0.02472324751483316
KLRC3,0.02449345749787703
NCR3,0.0243542514356675
NENF,0.024345930380982626
RPP21,0.024315992813767773
H1FX,0.023646655776482818
CCL3,0.023606219107526357
LOC643733,0.02359884702060428
HLA-DMA,0.023356680417487997
CHN1,0.023162416483315258
TIFA,0.023018401049391127
MAGEH1,0.022897212993528888
ANKRD28,0.022803996221329406
LOC101929910,0.022401061639495484
U2AF1L4,0.021817092435549586
KLRG1,0.021529020138944446
YPEL3,0.02151601316466097
HLA-DRB4,0.021233945061450897
LOC100996809,0.0211267869268981
KLRK1,0.02109310940470597
CLIC3,0.021015576927270664
GADD45G,0.020978176913770737
RAB24,0.02095210722926294
CISH,0.020865381292397886
CEBPB,0.0208489768921601
NMT1,0.020795931132371395
MT1E,0.020647141488706486
MBOAT7,0.020547621212167605
ARL16,0.020522579996918842
C7orf55,0.02034580053528468
DUSP5,0.020254704130611523
LOC646513,0.02006613379239844
AGTRAP,0.020027203802565532
ABCD4,0.019965808941835982
CD83,0.01984524542115817
MMP24-AS1,0.019410920537757413
FABP5,0.019180475272467808
NDNL2,0.019078349839524382
BLOC1S4,0.01888088614356384
LOC100996756,0.018780927532154188
ICA1,0.018714782908049853
SMIM4,0.018656881882337235
SRSF9,0.018536867865418836
REREP3,0.018533014318532284
PTPRA,0.018511597971708982
MT1F,0.018218113243760922
LMO4,0.018205903584600478
C1orf228,0.018199542888475584
CCL4L2,0.01786487784132054
MRPS24,0.017786570693797566
RN7SL1,0.01777576630161771
LOC554223,0.017534096181248564
GRK6,0.0173494639129738
IFI6,0.017331301378942187
HLA-DQB1,0.017193478694312977
LINC01089,0.016924386163112894
TMEM259,0.016908643265059017
TMEM191A,0.01674350869832232
NCF1C,0.01655512240806373
GRAMD1A,0.01641175928122348
SMIM3,0.016377668993817873
SNF8,0.016376950057823535
METTL8,0.016354835836717832
SRM,0.01632921640911827
SSBP4,0.016202350945254268
MTRNR2L2,0.016038431650381317
UBALD2,0.016037370686965306
TPGS1,0.015902116672095994
ASB2,0.015629603232980314
UBE2S,0.015503020940138236
LINC00623,0.01530549607653219
PVT1,0.015243024762790769
HNRNPA1L2,0.015066242419027601
LOC101928152,0.015019063393555765
IER3,0.015018457843472381
CBWD5,0.014982516216807561
CPNE7,0.014857144059727547
PRR5,0.014821819884860872
LOC101928173,0.014817934010094019
LTA,0.014746764567742144
MIB2,0.014698645680002889
SNORD3A,0.014669833878842374
IGJ,0.014657990052842523
ARL4D,0.014610114266680116
TXNL4A,0.01443670279448655
CSF1,0.014404303381960477
MIR155HG,0.01433652387757006
LOC101059954,0.014263819923688944
FAM159A,0.014256101851498495
PPP1R14B,0.014186390042194142
SLC2A4RG,0.013999811382599946
MYC,0.013988857134492152
CD9,0.01385537489918898
RBM38,0.013846196626362047
RTKN2,0.013722472278503215
EDARADD,0.013634999755680595
HIST1H1E,0.013612577054395789
P4HTM,0.013504362070850885
SGK1,0.01315229959330063
ALKBH6,0.013090351363802774
FXYD1,0.01302927629376114
NMB,0.013011767515267983
CCL20,0.013002984208660423
METRNL,0.012975691383707199
RNU4-2,0.0128661130995665
LMNA,0.012810572077474061
IL2,0.01271180576403448
MYBL1,0.012655975762321666
