gene,mean_abs_grad
RNASE1,0.9619759414253805
SCX,0.9585549513764985
LOC341056,0.955174895481599
AIM1L,0.9515487900759311
MMP14,0.9467245779096005
SELL,0.9428585847780477
IL5,0.9423594641216955
MUC20,0.9405676938870977
MC1R,0.938160399747393
SLMO2-ATP5E,0.9349229029983634
TUBA4B,0.9294789509190621
EMILIN1,0.9275872772843002
FANK1,0.9208982606111801
FAM114A1,0.9179793160327213
CBWD6,0.9172209435273115
LOC102724770,0.9136277375502962
LOC102724537,0.90544929431085
ITGAD,0.9001479448901766
SNORA19,0.8984030047882499
LOC101927684,0.8981892436356651
LOC102724302,0.8912800807857105
TPSB2,0.8907170994816367
S100B,0.8904035862776108
MAGOH2,0.8871009755242477
LOC101928152,0.8860869040810517
LOC101928001,0.8836552418510215
SAMSN1-AS1,0.8823203953028863
LOC283140,0.8820346716162543
SLC25A29,0.8802260014048794
GCK,0.8791310633930786
LOC101927252,0.8783592246350438
TWIST1,0.8782374636414962
AMN,0.8775790900751319
LOC100507501,0.8771949963400851
MIR192,0.8759515086107738
TFAMP1,0.8756841113626325
LOC101927768,0.8749687464887096
PON3,0.8734682686278192
RAVER2,0.8714158900812343
PARD6G-AS1,0.8678737926761021
ZNF321P,0.8666755269992803
PFN1P2,0.8662868180741129
CDKN1C,0.8651472700262208
CSNK1A1L,0.8648037623430938
EGR4,0.8606928746807148
LOC101060376,0.8595108808834697
SLX1A,0.8584865470509278
EIF3CL,0.8580511470447285
ITGA7,0.8556329955260107
GeneID:102723372,0.8538929572308487
PGAM1P5,0.8532358824257132
HSD52,0.8473108816735101
STMN4,0.8468881571228584
ZMYND19,0.8445097289683393
ASCL1,0.8436484355476015
NUDT4P2,0.8426970716640441
FXYD3,0.839643876038676
IL10RB-AS1,0.836927837125648
UBE2MP1,0.8368625112331022
DIRAS3,0.8360558130804526
IGFBP6,0.8349791343461469
CYP2D7P,0.8345056408123092
TUBA3D,0.83253844889444
RASIP1,0.8286635990248057
GUCY1B2,0.8278459356571779
GeneID:100288102,0.8257771584764608
LINC01135,0.8230393631845079
ARC,0.8204204551522253
FOXP3,0.8197925452460034
PASK,0.8196876265275324
MOK,0.8177196788119779
HPN,0.8154273103791201
GeneID:145663,0.8144573258729916
LEPREL1,0.8142128097139727
USP27X,0.8129937789923614
SECTM1,0.8120305928816821
LOC102725351,0.810244209715692
LOC101929094,0.808085343153565
LOC101930079,0.8069715187129982
LOC102725391,0.8054421852721468
GTSCR1,0.8045561056602364
CDO1,0.8034017481398031
FCER1G,0.8016847356609799
PMS2P3,0.8001281008023662
ICA1,0.7972609326220307
EME1,0.795447891270351
CCR7,0.7950576243992666
CABP7,0.7947898582386133
LOC101927635,0.7944856085223618
LOC102724457,0.7943612613575108
CTSG,0.7939284796842188
LOC100996720,0.7938665440030672
DBH,0.792835616095852
CLK2P,0.7914613195571488
PMCH,0.7914575840814804
GGTLC2,0.7880338744852328
C2CD4C,0.7868922312034572
FAM132A,0.7867008620944339
HMCN1,0.7845696838352421
XCL2,0.7811052046767482
PSCA,0.7800836036345851
PCSK1N,0.7798519975216344
WFDC2,0.7792263067660629
MUC4,0.779027440219676
ANP32AP1,0.7737233126040068
NKX2-3,0.7733717806007745
HBA2,0.772810786694619
SCUBE1,0.7707429563893498
SERF2-C15ORF63,0.7706305676654713
TMEM244,0.7705413929979058
LOC101927838,0.7689923596289027
ACRBP,0.7681534885214707
STX1A,0.7676202850786383
LOC101929290,0.7675384602834313
REREP3,0.7666261311273833
FGD1,0.7662270292745965
LOC115110,0.7652761222749965
HIST1H3E,0.7636618434174566
LOC100128288,0.7622413211950446
PADI4,0.7617125125407552
LOC102724342,0.761689310781526
CECR5-AS1,0.761613346019686
MAMDC4,0.7613904651606137
LOC102724031,0.759232745065063
SERHL2,0.7586684735131259
ANKRD9,0.7582018029689049
GREB1L,0.757480004828327
MAGIX,0.7573242925325024
LOC102724885,0.7550768453465474
ITGB4,0.7549978857718519
HAR1A,0.7541282464149726
ABHD17C,0.7529249947436588
LOC102723797,0.7520737518240548
LOC101928353,0.7512037742973726
PELI3,0.7501122307536489
TUBA3E,0.7495916081734122
CH25H,0.7458265145058065
RASSF8,0.7444147837523393
LOC101930154,0.7437729876007861
MMP23A,0.7421732533555223
CITED4,0.7410125760799761
GTF2IP1,0.7404844201170543
LOC101930551,0.7396425125758681
NPIPB9,0.7391155560515758
PTMS,0.7381965117418761
CTAGE1,0.7372638886139387
PRRT3-AS1,0.7371878831771294
LOC102725469,0.7358015714416826
CCL4L1,0.7353677993801846
LOC102723729,0.7346434245275982
KRT18,0.7346244945860746
GNG8,0.7345060812370929
LOC102467081,0.7344927114692789
DISC1FP1,0.7330393815733778
SNORD22,0.7320430321197103
LINC00598,0.7318202345024356
LOC100505942,0.7317073359225468
