gene,lr,mlp,sae,xgb,multitask,lr_rank,mlp_rank,sae_rank,xgb_rank,multitask_rank,mean_rank
LINC00152,0.02833523530319574,0.07554687527550197,0.26291284625598677,0.0016321972,0.09384869385191293,138.0,37.0,43.0,120.0,39.0,75.4
GNLY,0.05079309542297849,0.03427933455326458,0.14477260852804497,0.0025010111,0.04057101725674734,51.0,91.0,91.0,39.0,109.0,76.2
XCL2,0.027319541733756423,0.044078925635690366,0.1685015303758552,0.004014752,0.05144789979932446,149.0,68.0,76.0,16.0,81.0,78.0
LINC00861,0.045391257284937245,0.05244615677898649,0.1996980855945438,0.0014737876,0.061704518206615704,57.0,52.0,57.0,164.0,61.0,78.2
JUND,0.03833055336843589,0.059771969213303036,0.2350366542864168,0.001440567,0.0727565283666252,74.0,47.0,50.0,175.0,49.0,79.0
SELL,0.21391688586493926,0.03130869638985602,0.09232118448833636,0.011081209,0.03662659484006506,2.0,105.0,164.0,5.0,128.0,80.8
HLA-DRB5,0.053578076950520206,0.026351819772003796,0.1443755640424005,0.0030611844,0.03975173985253825,47.0,133.0,92.0,28.0,114.0,82.8
CHMP1B,0.03596383068883049,0.05265214694321514,0.21425075127803403,0.0014137556,0.07359983387339855,89.0,51.0,52.0,185.0,48.0,85.0
CD7,0.018759729774358122,0.12451848805811658,0.4396000174489943,0.001981174,0.18179809459638746,303.0,25.0,25.0,62.0,22.0,87.4
DNPH1,0.037955312867784904,0.04825569858968417,0.1460667277260387,0.0015439077,0.05540020778746579,78.0,59.0,89.0,142.0,74.0,88.4
BATF,0.030836083724091943,0.044770731839352686,0.1810596320154825,0.0015225214,0.06064728204851208,117.0,64.0,66.0,150.0,64.0,92.2
HLA-G,0.043079212275319655,0.04021068710394309,0.17924549770136478,0.0014031493,0.06045288657101568,62.0,79.0,68.0,190.0,65.0,92.8
LYST,0.06376215423302856,0.03175298229537017,0.11334916342362299,0.0017604041,0.03979426087718867,31.0,102.0,132.0,89.0,112.0,93.2
ZNF331,0.04988462955741058,0.044273891227863585,0.1296169225905465,0.0016014915,0.04011018776818237,52.0,67.0,115.0,129.0,110.0,94.6
HSPA1B,0.04424300241352989,0.12670957120602502,0.662543082265326,0.0011454051,0.18993455772028625,59.0,24.0,16.0,356.0,20.0,95.0
ID3,0.07091059019692732,0.02702451492743752,0.09480692583410097,0.0025760368,0.03734334661663373,27.0,129.0,162.0,36.0,124.0,95.6
