gene,attribution
KLRC4,0.13229500679109288
IGFLR1,0.1311542554026121
CHCHD10,0.12975018998899784
ZNF331,0.1296169225905465
LAG3,0.1270376137692134
SUPT3H,0.1251483644335662
CKS2,0.12498383595638832
PMAIP1,0.1227201284193725
STUB1,0.12269441362101577
SIRPG,0.12234927574660476
CTLA4,0.12153563151525983
H2AFJ,0.12036191602019573
CCR7,0.11898394537300165
TNFRSF4,0.11876126788877582
BRE-AS1,0.11868298633862293
C5orf56,0.11733009603712136
MAP1LC3B2,0.11681597063290297
SNHG7,0.11530822253509534
PHPT1,0.11515188119614105
SELM,0.11356004711773308
LYST,0.11334916342362299
MIR4435-1HG,0.1126042371289565
LOC101060038,0.11247046850610154
ATP5L2,0.11213124269118098
TNFSF9,0.11197043468043053
FAM173A,0.11178482592006099
SLC38A2,0.11169383896977923
IRF7,0.10990598234120234
PTMS,0.10963809894440925
NT5C,0.10885527936355925
SNORA78,0.10783097804734448
A1BG,0.10739771004803869
UGP2,0.10614830245531823
LOC284454,0.10582912153722068
CCL3,0.10383806025558452
KLRC2,0.10298811469309521
NME3,0.10283261209802082
TMEM107,0.1025246693546881
ITM2C,0.10203569083639179
ATP5EP2,0.10197155391813012
TNFRSF18,0.1012925814654082
H2AFX,0.10032156663511198
CLTB,0.10011958135910276
TYMP,0.10005322061966375
ZFAND2A,0.09937794613059282
METTL12,0.09832007708652074
SPNS1,0.09824611781350102
NCF1B,0.09810702041494493
ANXA2R,0.09555344891691524
SUMO1P3,0.09484684057166547
ID3,0.09480692583410097
PDCD1,0.09234430090698674
SELL,0.09232118448833636
CXCR6,0.09213174965737676
PIM3,0.09176929604060503
NEU1,0.09146344595940985
HLA-DRB4,0.09088502465518378
STRA13,0.09056146196154059
ODC1,0.09006786127689345
HLA-DMA,0.08939687399166278
RPP21,0.0881316201137481
SPRY1,0.08773827749371388
PTTG1,0.08766506716039042
RPL19P12,0.08707296872684364
LOC643733,0.08539218345671887
AMICA1,0.0847876329252321
NCF1,0.08438063418678235
GCHFR,0.08428539755945795
CCL4L2,0.08411966826170673
KLRK1,0.08355216206683087
DUSP5,0.0832789347742445
CLIC3,0.08312035127194829
CD40LG,0.08248934043140303
LOC102288414,0.08213089120032568
LOC100996740,0.08142684809768883
DDTL,0.08089251876224714
AREG,0.07970233693996961
ACP5,0.0792991956725359
NENF,0.07883345712384822
TOB1,0.07873874283806492
RAB24,0.07857747438873126
MAF,0.07834139160521379
CMC1,0.07815396814557374
FAM50A,0.07744540828860676
H3F3A,0.0773351804224721
FABP5,0.07601325119223822
AGTRAP,0.07532133555635473
HLA-L,0.07357604253403674
CEBPB,0.07350479972302659
YPEL3,0.07350461241050674
U2AF1L4,0.0730257576437613
LOC100996809,0.07292144554693444
C7orf55,0.07288310230868325
H1FX,0.07286595355244285
SRSF9,0.07059994879603113
ANKRD28,0.07016313033895863
LOC101929910,0.0697902156580818
THAP3,0.06937127825449851
ABCD4,0.0688372565826327
MT1E,0.06857211298200898
NMT1,0.06831778691311732
PPP1R2P9,0.0665492981914312
HLA-DQB1,0.06596419948851964
MMP24-AS1,0.06593918600821996
NDNL2,0.06487720527457375
GRAMD1A,0.0647535854999622
GRK6,0.0647218450123316
ARL16,0.06455671776176851
NCR3,0.06444833676389808
BLOC1S4,0.06420159849819916
KLRC3,0.06364590670435644
IFI6,0.06362649773821252
PASK,0.06250813676747673
MBOAT7,0.06220678017665756
CD83,0.06128717652700948
MRPS24,0.06096778289301147
KLRG1,0.06030314892861147
RN7SL1,0.06023035545460268
LINC01089,0.05985617869682612
MAGEH1,0.05931802833821516
LOC100996756,0.05880002051408969
SSBP4,0.05789218413897053
MIB2,0.057452596118509135
FOXP3,0.057307893806733255
UBE2S,0.056691332793370276
LOC646513,0.05632894679208393
MIR155HG,0.05632278546908024
CISH,0.056287227771558736
MT1F,0.05596258248467564
FAM159A,0.055566091722523046
ASB2,0.05463732278440869
SMIM4,0.05454291579639259
SLC2A4RG,0.05412166775303834
UBALD2,0.05401998106880985
CPNE7,0.053672890744142186
PTPRA,0.053649120828605956
CHN1,0.053518829073157186
SNF8,0.053095130821087556
TXNL4A,0.05279579044947672
CSF1,0.052698863512613485
GADD45G,0.05257954336455718
MIF-AS1,0.052534325552584554
HIST1H1E,0.05108475541752186
TMEM259,0.05098706457606179
CBWD5,0.050838458516624205
LOC101928173,0.05059458810230322
REREP3,0.049916883934143494
ICA1,0.04963771083898712
ALKBH6,0.04945858270825933
SRM,0.04848507737117221
TIFA,0.04803650381841335
EDARADD,0.04803166599491245
METRNL,0.047993583626286286
LOC102724850,0.04756314931173524
CD70,0.04746724729920474
METTL8,0.04707769927543388
NCF1C,0.046932125688670744
LINC00623,0.04677147386714194
LTA,0.046663072901290584
PRR5,0.046615522931036095
SNORD3A,0.04586462678649762
RBM38,0.0457244413620732
CFAP20,0.04533266274781689
RNU4-2,0.04487527186085306
FXYD1,0.044089572811428224
DDAH2,0.04379926234212134
HSPA6,0.04376217977665575
LOC554223,0.0437512119677615
C1orf228,0.043509739536500364
MYC,0.04346902930177113
FAM89B,0.04317584618492805
MTRNR2L2,0.0429705554247272
HLA-DRB1,0.04233671578195695
P4HTM,0.04209470290716757
CD9,0.041878121402907906
ANXA2P2,0.0417114448121695
LMO4,0.041676163917273336
TMEM191A,0.04154670013097605
CCL20,0.041369269012584545
OTUD5,0.04110035450827587
RTKN2,0.04092496780776895
HNRNPA1L2,0.04057011800293854
TPGS1,0.04052104621314565
SMIM3,0.04038982640846332
MAP2K2,0.040114095122200356
PPP1R14B,0.039805287008549795
ARL4D,0.03939234645078012
NMB,0.03920101101093554
IER3,0.038613845629387904
STMN1,0.038502400381523263
BAG3,0.038307429291134724
SGK1,0.0380069621696659
LOC102724614,0.03785748786517155
LMNA,0.03779485929064768
NACA2,0.037603334236275085
TUBB2A,0.03745777015314758
LOC100653296,0.03677018620935201
PVT1,0.036707729897461544
CD81,0.03658987272547653
MYBL1,0.035999237733575724
RPL39L,0.03540655589799844
MZB1,0.03527035478782642
NACAP1,0.03488268443045469
BMS1P20,0.03379511586362434
SNURF,0.0336729939000471
RPSAP9,0.0335286071222763
RMRP,0.03315028420946631
MAP1LC3A,0.0317865940385104
ID1,0.03176200167420822
ZNF414,0.03176195355004397
KIR2DL4,0.03171292618014056
CRTAM,0.03168317405668049
CCL3L1,0.03137737345388068
TAF10,0.031248091025550827
LAIR2,0.031141750090963656
