model,val_auroc,val_auprc,test_auroc,test_auprc
logreg,0.8002726084871725,0.8148083829040322,0.7881968904558124,0.7510177433180918
mlp,0.817005533991398,0.8468488002654398,0.775778726211237,0.7382643164671079
sae,0.7867739094555503,0.8030278978920249,0.7714204779387421,0.7398529308838504
xgb,0.8311931583164685,0.8601306089152051,0.8108133285933189,0.7658293111905711
