gene,attribution
ITM2C,0.0351526659026148
ISG15,0.03488904560323938
BAX,0.03477733800773486
GNLY,0.03427933455326458
CDKN1A,0.034088265215217656
SIRPG,0.034009399405785616
TIGIT,0.03389036724153717
ATP5EP2,0.033767064205512815
DGCR6L,0.03324465183794635
MT1X,0.03278398156114346
KLRD1,0.032724499089077444
CHCHD10,0.031900437557647786
RN7SK,0.03189253368097454
IGFLR1,0.031792504619985985
LYST,0.03175298229537017
HIST1H4C,0.031421116019025426
LOC642441,0.0313475322061238
SELL,0.03130869638985602
TNFRSF18,0.031082992108532857
CKS2,0.030900317702820455
PMAIP1,0.03087961715859996
RGS2,0.030718887962992582
DDIT3,0.030546358621805512
CAPG,0.030502512571601945
GeneID:102723863,0.03034529918909265
TNF,0.030216290971319552
LOC101060038,0.02979990346855479
DNAJB4,0.02975238691621657
LAG3,0.029695681501074857
STUB1,0.029277825723555487
SOCS3,0.02920195039639536
H3F3C,0.029141720736080713
CTLA4,0.029110467084378925
C5orf56,0.02869438823546001
H2AFJ,0.02845209328153219
SUPT3H,0.028122181162551274
TUBB4B,0.02808795283594664
RNA45S5,0.027946837178521693
C4orf48,0.027743471968706804
PASK,0.027563034996688718
IRF7,0.027265181182876463
ID3,0.02702451492743752
TUBA1B,0.02696999122482942
MZT2B,0.026780833373856953
BRE-AS1,0.026689096449268528
HLA-DRB5,0.026351819772003796
SNHG7,0.026322759407539597
PTTG1,0.026189922820863302
PTMS,0.02563098752338262
ATP5L2,0.025590913119566478
TNFSF9,0.025585508093078066
NME3,0.025323315020289203
TTC39C,0.025189495642403515
UGP2,0.02456176073314252
KLRC4,0.02440342194576877
CCL3,0.024264448227497213
SELM,0.02411768962752981
CD40LG,0.02391419076082999
KLRC2,0.023696742611464663
LOC100996740,0.02368517124780711
POLR2J,0.023584196841115953
NT5C,0.023504386498889494
SLC38A2,0.023474849494951582
LOC284454,0.023451986881015126
SPNS1,0.02326800933914984
CLTB,0.02297051353010003
PHPT1,0.02239962202344926
ANXA2R,0.02225667022814806
SNORA78,0.02224048413255448
NCF1B,0.022124788527760366
TMEM107,0.022020802776617374
RPP21,0.0217629091049865
STRA13,0.021522235799416613
SPRY1,0.02150728428964613
MAP1LC3B2,0.021382143829872587
TYMP,0.021166325295365357
PPP1R2P9,0.021135111646136098
FAM173A,0.020985697851570635
ZFAND2A,0.020963136058001205
RPL19P12,0.020856825788527603
H2AFX,0.020775253053976962
AREG,0.020601758036992723
H1FX,0.020225515782991987
MIR4435-1HG,0.02021180150469122
ODC1,0.020131625479415053
DDTL,0.01991135197159938
H3F3A,0.01987301729105431
FAM50A,0.01982141553147344
A1BG,0.01979144372881534
RN7SL1,0.01970527098335681
LOC102288414,0.019549317652866865
AMICA1,0.019525553228155884
HLA-L,0.01945316911992636
METTL12,0.019359583627356607
NENF,0.019287274684497188
SUMO1P3,0.01927031008059607
PIM3,0.01820947565463965
DUSP5,0.018188820644362346
CXCR6,0.01810277118012434
NCF1,0.017947164835795962
LOC643733,0.017920458873275577
CMC1,0.017633554134519062
THAP3,0.017249558059305024
U2AF1L4,0.01721440017219663
HLA-DRB4,0.017145837391053194
TOB1,0.0171237110419117
CCL4L2,0.017123139404879566
ABCD4,0.01706217632402483
FABP5,0.016983252125615248
GCHFR,0.01695500865073355
MAF,0.01668545765410013
HLA-DMA,0.016665371343300397
PDCD1,0.016637265478993413
CLIC3,0.01650458685515663
NCR3,0.01637473875543217
NEU1,0.01625710534011872
C7orf55,0.01621985097020434
FOXP3,0.016140615198869536
ANKRD28,0.01592304738942012
MT1E,0.01580551627490608
MBOAT7,0.015786849105951548
ACP5,0.01575208639937468
RTKN2,0.015475151654281838
REREP3,0.015460322346781023
KLRK1,0.015065886660847762
AGTRAP,0.015007335729825431
SRSF9,0.01486522591895175
LOC100996809,0.014839586004218537
CPNE7,0.014703006743941361
MMP24-AS1,0.014620357951747825
CHN1,0.014571861120825492
CEBPB,0.01450530026186777
GRK6,0.014397590973721458
RAB24,0.014243297631295244
ICA1,0.013835786982394368
KLRG1,0.013830212013755904
LINC01089,0.013800194551523351
YPEL3,0.013742673907718347
NDNL2,0.013732894858796068
CISH,0.013725291898560815
