gene,importance
FAM159A,0.001298478
SFTPC,0.0012961843
MMP24-AS1,0.0012959652
PMAIP1,0.0012959545
METRNL,0.0012950165
LOC101928173,0.0012947533
IZUMO4,0.0012918793
SAP25,0.0012901465
PPP1R35,0.0012878708
TNFRSF9,0.0012858714
SECTM1,0.0012823166
PGLYRP2,0.001277953
PTPRA,0.0012778933
LMO4,0.001277681
GEM,0.0012774717
FBXL22,0.0012708548
NFKBID,0.001270458
CYB5D2,0.0012685797
GADD45B,0.0012662958
LOC606724,0.0012660166
HILPDA,0.001265464
IGFL2,0.0012630563
LOC102724017,0.0012605421
LOC101060400,0.0012603184
MIB2,0.0012601444
CST3,0.0012597488
EIF5AL1,0.0012575642
SLC38A2,0.0012559791
LOC101929786,0.0012550624
CEBPB,0.0012541777
BLOC1S4,0.0012541502
MT2A,0.0012531603
RMRP,0.0012490208
ZNF296,0.0012486628
RPS26P11,0.001248292
HOXB-AS1,0.0012481094
CRIP2,0.0012469603
LOC441454,0.001246661
HLA-L,0.0012463066
MAP1LC3B2,0.0012423877
CPA3,0.0012414496
STMN1,0.0012365767
CSF2,0.001236112
LOC101060363,0.0012350987
PPIAL4B,0.0012293607
LTA,0.0012284176
CCDC61,0.0012283152
SNF8,0.0012272709
APOA1,0.0012270926
LOC644936,0.0012262692
LOC101929561,0.0012235143
SOCS3,0.0012218328
SMARCD3,0.0012202271
CBWD5,0.001219509
COX1,0.0012193129
SPATA33,0.0012190986
LOC100996740,0.0012178916
LOC100288778,0.0012178312
PIN4P1,0.0012135138
SRSF9,0.0012111294
LOC613037,0.0012092761
CKS2,0.0012088611
BRI3,0.001207907
LOC101928353,0.0012042979
DUSP5,0.0012036985
GOLGA6L5P,0.001202589
LOC100506248,0.0012017019
MT1L,0.0011987694
HIST1H1E,0.0011985726
CDKN1A,0.0011973891
CARD16,0.0011936546
SCARNA5,0.0011926127
LOC100653296,0.0011908557
FMO5,0.0011908407
CFAP20,0.0011899846
TNF,0.0011862646
PIM3,0.0011806505
SNHG15,0.001179753
LOC101929289,0.0011789423
HLA-DQB1,0.0011787089
IER5L,0.0011778325
FAM89B,0.0011765974
TTC39C,0.0011751191
FAM173A,0.0011743462
CLIC3,0.0011740682
HNRNPA1L2,0.0011730213
H3F3C,0.0011682459
MT1X,0.0011660875
DGCR6L,0.0011658128
ZNF414,0.0011620527
LOC100996747,0.001161821
CENPV,0.0011613236
KLRG1,0.0011605783
RPL39L,0.00116003
IL10,0.001159859
LOC115110,0.0011575043
CORO1B,0.0011543483
LOC102288414,0.0011538761
PPP1R14B,0.0011528499
SPRY1,0.0011523765
RGCC,0.0011520638
AARSD1,0.0011511899
LINC01260,0.0011504955
C5orf56,0.0011488888
MTRNR2L8,0.0011485106
LOC100507316,0.0011481758
FABP5,0.0011478531
HSPA1B,0.0011454051
ARL4D,0.0011445832
LMNA,0.0011445644
HIST1H2BJ,0.0011427171
BAG3,0.0011391387
CCL3L1,0.001134236
MT1E,0.0011340323
GRAMD1A,0.0011339987
LOC101927241,0.001132424
ID1,0.0011311576
LOC101929796,0.0011308062
NPIPA1,0.0011301452
EDARADD,0.001129382
PHLDA2,0.001128063
CD200,0.001127421
CLECL1,0.0011263763
H3F3A,0.0011259903
PVALB,0.001123704
TNFSF9,0.0011228982
TOB1,0.0011214416
TMEM244,0.0011205638
TIFA,0.0011202003
SAT1,0.0011189599
CHPT1,0.0011167241
P4HTM,0.0011158978
FANK1,0.0011149888
CD79A,0.0011147631
HSPB1,0.0011147469
DYNLL2,0.0011139204
MIR155HG,0.0011125613
ALKBH6,0.001112215
SELM,0.0011094331
SNORD22,0.0011086813
NDUFC2,0.0011086152
C8orf82,0.0011073687
HSPA1A,0.0011064244
LOC102725018,0.0011062466
BCL3,0.0011058913
HRAS,0.0011049644
KRT18,0.0011028757
LINC01089,0.0010998172
NDNL2,0.0010945974
C7orf55,0.0010945406
LOC730257,0.0010933729
NEU1,0.0010928038
IGLL5,0.0010922038
LOC102724614,0.0010909238
CAV1,0.0010898053
LOC101928402,0.0010896984
UGP2,0.0010887018
A1BG,0.0010879854
H2AFJ,0.0010879604
GAPDH,0.0010818512
BMS1P20,0.001081354
CISH,0.001080815
SUPT3H,0.0010799089
ASB2,0.0010770308
TIGIT,0.001076945
GADD45G,0.001075191
FAM50A,0.0010749712
LOC284454,0.0010743173
OPLAH,0.0010740786
TMEM107,0.0010657652
ICOS,0.0010625885
RPS14P3,0.0010597439
NCF1C,0.0010567867
LOC102725351,0.0010482066
NFKBIA,0.001047325
EGR2,0.0010467671
ZFAND2A,0.0010462212
ANKRD37,0.0010455576
LOC101929910,0.0010454557
LOC100996717,0.0010434882
H2AFX,0.0010430496
RNU4ATAC,0.0010370102
