model,val_auroc,val_auprc,test_auroc,test_auprc
logreg,0.8002726084871725,0.8148083829040322,0.7881968904558124,0.7510177433180918
xgb,0.8311931583164685,0.8601306089152051,0.8108133285933189,0.7658293111905711
mlp,0.7820349141166959,0.8056339190957345,0.7592965347425188,0.7253770293197861
multitask,0.8095035454318861,0.8422604652161504,0.7750302255883337,0.7317545729839181
